industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
N493120	493120	Refrigerated warehousing and storage	5	T	397	
N49312_	49312	Refrigerated warehousing and storage	4	T	396	
N4931__	4931	Warehousing and storage	3	T	393	
N493___	493	Warehousing and storage	2	T	392	
N511110	511110	Newspaper publishers	5	T	402	
N51111_	51111	Newspaper publishers	4	T	401	
N511120	511120	Periodical publishers	5	T	404	
N51112_	51112	Periodical publishers	4	T	403	
N511130	511130	Book publishers	5	T	406	
N51113_	51113	Book publishers	4	T	405	
N5111__	5111	Newspaper, periodical, book, and directory publishers	3	T	400	
N511210	511210	Software publishers	5	T	409	
N51121_	51121	Software publishers	4	T	408	
N5112__	5112	Software publishers	3	T	407	
N511___	511	Publishing industries (except internet)	2	T	399	
N51213_	51213	Motion picture and video exhibition	4	T	411	
N51511_	51511	Radio broadcasting	4	T	414	
N5151__	5151	Radio and television broadcasting	3	T	413	
N515210	515210	Cable and other subscription programming	5	T	417	
N51521_	51521	Cable and other subscription programming	4	T	416	
N5152__	5152	Cable and other subscription programming	3	T	415	
N515___	515	Broadcasting (except internet)	2	T	412	
N517110	517110	Wired telecommunications carriers	5	T	421	
N51711_	51711	Wired telecommunications carriers	4	T	420	
N5171__	5171	Wired telecommunications carriers	3	T	419	
N517210	517210	Wireless telecommunications carriers	5	T	424	
N51721_	51721	Wireless telecommunications carriers (except satellite)	4	T	423	
N5172__	5172	Wireless telecommunications carriers (except satellite)	3	T	422	
N522110	522110	Commercial banking	5	T	427	
N52211_	52211	Commercial banking	4	T	426	
N532111	532111	Passenger car rental	5	T	429	
N532120	532120	Truck, utility trailer, and rv (recreational vehicle) rental and leasing	5	T	431	
N53212_	53212	Truck, utility trailer, and rv (recreational vehicle) rental and leasing	4	T	430	
N532230	532230	Video tape and disc rental	5	T	433	
N53223_	53223	Video tape and disc rental	4	T	432	
N541211	541211	Offices of certified public accountants	5	T	436	
N541213	541213	Tax preparation services	5	T	437	
N541219	541219	Other accounting services	5	T	438	
N54121_	54121	Accounting, tax preparation, bookkeeping, and payroll services	4	T	435	
N5412__	5412	Accounting, tax preparation, bookkeeping, and payroll services	3	T	434	
N541310	541310	Architectural services	5	T	440	
N54131_	54131	Architectural services	4	T	439	
N541330	541330	Engineering services	5	T	442	
N54133_	54133	Engineering services	4	T	441	
N541810	541810	Advertising agencies	5	T	444	
N54181_	54181	Advertising agencies	4	T	443	
N541921	541921	Photography studios, portrait	5	T	446	
N56131_	56131	Employment placement agencies and executive search services	4	T	449	
N561510	561510	Travel agencies	5	T	452	
N56151_	56151	Travel agencies	4	T	451	
N5615__	5615	Travel arrangement and reservation services	3	T	450	
N561720	561720	Janitorial services	5	T	455	
N56172_	56172	Janitorial services	4	T	454	
N621511	621511	Medical laboratories	5	T	459	
N621512	621512	Diagnostic imaging centers	5	T	460	
N62151_	62151	Medical and diagnostic laboratories	4	T	458	
N6215__	6215	Medical and diagnostic laboratories	3	T	457	
N713110	713110	Amusement and theme parks	5	T	463	
N71311_	71311	Amusement and theme parks	4	T	462	
N7132__	7132	Gambling industries	3	T	464	
N713910	713910	Golf courses and country clubs	5	T	466	
N71391_	71391	Golf courses and country clubs	4	T	465	
N713940	713940	Fitness and recreational sports centers	5	T	468	
N71394_	71394	Fitness and recreational sports centers	4	T	467	
N713950	713950	Bowling centers	5	T	470	
N71395_	71395	Bowling centers	4	T	469	
N721110	721110	Hotels (except casino hotels) and motels	5	T	476	
N72111_	72111	Hotels (except casino hotels) and motels	4	T	475	
N7211__	7211	Traveler accommodation	3	T	474	
N721___	721	Accommodation	2	T	473	
N7223__	7223	Special food services	3	T	478	
N722410	722410	Drinking places (alcoholic beverages)	5	T	481	
N72241_	72241	Drinking places (alcoholic beverages)	4	T	480	
N7224__	7224	Drinking places (alcoholic beverages)	3	T	479	
N722511	722511	Full-service restaurants	5	T	484	
N72251A	72251A	Limited-service eating places	5	T	485	
N72251_	72251	Restaurants and other eating places	4	T	483	
N7225__	7225	Restaurants and other eating places	3	T	482	
N722___	722	Food services and drinking places	2	T	477	
N72____	72	Accommodation and food services	1	T	472	
N8111__	8111	Automotive repair and maintenance	3	T	487	
N811420	811420	Reupholstery and furniture repair	5	T	489	
N81142_	81142	Reupholstery and furniture repair	4	T	488	
N81211_	81211	Hair, nail, and skin care services	4	T	491	
N8121__	8121	Personal care services	3	T	490	
N812210	812210	Funeral homes and funeral services	5	T	494	
N81221_	81221	Funeral homes and funeral services	4	T	493	
N812310	812310	Coin-operated laundries and drycleaners	5	T	497	
N81231_	81231	Coin-operated laundries and drycleaners	4	T	496	
N812320	812320	Drycleaning and laundry services (except coin-operated)	5	T	499	
N81232_	81232	Drycleaning and laundry services (except coin-operated)	4	T	498	
N81233_	81233	Linen and uniform supply	4	T	500	
N8123__	8123	Drycleaning and laundry services	3	T	495	
N81292_	81292	Photofinishing	4	T	502	
